
SetupTitle, I/V-t Sampling
PrimitiveTest, I/V-t Sampling
DataValue, 2, 0, 22.53, 5.8338999999999991E-09, -5.8299999999999991E-09
DataValue, 2, 0, 22.580000000000002, 5.2092999999999994E-09, -3.2628999999999996E-09
DataValue, 2, 0, 22.630000000000003, 2.7522999999999997E-09, -2.7469999999999997E-09
DataValue, 2, 0, 22.680000000000003, 2.7525999999999998E-09, -2.7605999999999998E-09
DataValue, 2, 0, 22.735000000000003, 2.7506999999999996E-09, -2.7594E-09
DataValue, 2, 0, 22.795, 2.7486E-09, -2.7622E-09
DataValue, 2, 0, 22.855, 2.7468999999999997E-09, -2.7578999999999998E-09
DataValue, 2, 0, 22.915000000000003, 2.7477E-09, -2.7551999999999998E-09
DataValue, 2, 0, 22.975, 2.7474E-09, -2.7561999999999996E-09
DataValue, 2, 0, 23.035, 2.7435E-09, -2.7536999999999997E-09
DataValue, 2, 0, 23.095000000000002, 2.7486E-09, -2.7346999999999997E-09
DataValue, 2, 0, 23.145000000000003, 2.7452999999999996E-09, -2.7546999999999996E-09
DataValue, 2, 0, 23.200000000000003, 2.7414999999999997E-09, -2.7529E-09
DataValue, 2, 0, 23.26, 2.7428999999999997E-09, -2.7518999999999996E-09
DataValue, 2, 0, 23.32, 2.7388999999999997E-09, -2.7496999999999997E-09
DataValue, 2, 0, 23.380000000000003, 2.7428999999999997E-09, -2.7510999999999997E-09
DataValue, 2, 0, 23.44, 2.7390999999999998E-09, -2.7491999999999996E-09
DataValue, 2, 0, 23.500000000000004, 2.7411999999999996E-09, -2.7482999999999997E-09
DataValue, 2, 0, 23.560000000000002, 2.7376999999999998E-09, -2.7478999999999996E-09
DataValue, 2, 0, 23.62, 2.7371999999999996E-09, -2.7478999999999996E-09
DataValue, 2, 0, 23.680000000000003, 2.7404999999999998E-09, -2.7276999999999996E-09
DataValue, 2, 0, 23.73, 2.7368E-09, -2.7473E-09
DataValue, 2, 0, 23.785000000000004, 2.7366E-09, -2.7454999999999997E-09
DataValue, 2, 0, 23.845000000000002, 2.7352E-09, -2.7450999999999995E-09
DataValue, 2, 0, 23.905, 2.7456999999999997E-09, -2.7325E-09
DataValue, 2, 0, 23.96, 2.7338E-09, -2.7424999999999996E-09
DataValue, 2, 0, 24.005000000000003, 2.7336999999999998E-09, -2.7447E-09
DataValue, 2, 0, 24.065, 2.7318999999999996E-09, -2.7422E-09
DataValue, 2, 0, 24.125000000000004, 2.7327E-09, -2.7408E-09
DataValue, 2, 0, 24.185000000000002, 2.7290999999999996E-09, -2.7435E-09
DataValue, 2, 0, 24.245, 2.7359999999999997E-09, -2.7234E-09
DataValue, 2, 0, 24.295, 2.7305999999999996E-09, -2.7407E-09
DataValue, 2, 0, 24.345000000000002, 2.7341E-09, -2.7258E-09
DataValue, 2, 0, 24.395000000000003, 2.7403999999999998E-09, -2.7292999999999997E-09
DataValue, 2, 0, 24.44, 2.7274E-09, -2.7412999999999996E-09
DataValue, 2, 0, 24.490000000000002, 2.7402999999999997E-09, -2.7302E-09
DataValue, 2, 0, 24.545, 2.7305999999999996E-09, -2.7354E-09
DataValue, 2, 0, 24.590000000000003, 2.7274E-09, -2.7398999999999996E-09
DataValue, 2, 0, 24.650000000000002, 2.7302999999999996E-09, -2.7407E-09
DataValue, 2, 0, 24.71, 2.7265999999999997E-09, -2.7382E-09
DataValue, 2, 0, 24.770000000000003, 2.7301E-09, -2.7400999999999997E-09
DataValue, 2, 0, 24.830000000000002, 2.7317999999999996E-09, -2.7166E-09
DataValue, 2, 0, 24.880000000000003, 2.7289999999999996E-09, -2.7403999999999998E-09
DataValue, 2, 0, 24.935000000000002, 2.7275999999999996E-09, -2.7397999999999996E-09
DataValue, 2, 0, 24.995, 2.7278999999999996E-09, -2.7407E-09
DataValue, 2, 0, 25.055000000000003, 2.7375999999999997E-09, -2.726E-09
DataValue, 2, 0, 25.105, 2.7261999999999995E-09, -2.7397999999999996E-09
DataValue, 2, 0, 25.155, 2.7242999999999998E-09, -2.7410999999999996E-09
DataValue, 2, 0, 25.215000000000003, 2.7262999999999996E-09, -2.7358999999999996E-09
DataValue, 2, 0, 25.275000000000002, 2.7248E-09, -2.7376999999999998E-09
DataValue, 2, 0, 25.335, 2.7248E-09, -2.7361999999999997E-09
DataValue, 2, 0, 25.395000000000003, 2.7241999999999998E-09, -2.7356999999999996E-09
DataValue, 2, 0, 25.455000000000002, 2.7272E-09, -2.7163E-09
DataValue, 2, 0, 25.505000000000003, 2.7236999999999996E-09, -2.7353E-09
DataValue, 2, 0, 25.560000000000002, 2.7228999999999998E-09, -2.7343999999999996E-09
DataValue, 2, 0, 25.62, 2.7222999999999996E-09, -2.7360999999999997E-09
DataValue, 2, 0, 25.680000000000003, 2.7238999999999997E-09, -2.7332999999999996E-09
DataValue, 2, 0, 25.740000000000002, 2.7219E-09, -2.7334999999999997E-09
DataValue, 2, 0, 25.8, 2.7234E-09, -2.7339E-09
DataValue, 2, 0, 25.860000000000003, 2.719E-09, -2.7344999999999996E-09
DataValue, 2, 0, 25.92, 2.7231E-09, -2.7339E-09
DataValue, 2, 0, 25.98, 2.7246E-09, -2.7071E-09
DataValue, 2, 0, 26.03, 5.0547E-09, -5.8093999999999994E-09
DataValue, 2, 0, 26.080000000000002, 5.7845E-09, -5.7743999999999994E-09
DataValue, 2, 0, 26.130000000000003, 5.7836999999999994E-09, -5.7909999999999995E-09
DataValue, 2, 0, 26.185000000000002, 5.7799999999999995E-09, -5.7892E-09
DataValue, 2, 0, 26.245, 5.7769999999999994E-09, -5.7923999999999991E-09
DataValue, 2, 0, 26.305000000000003, 5.7765999999999993E-09, -5.7880999999999991E-09
DataValue, 2, 0, 26.365000000000002, 5.7754999999999993E-09, -5.7880999999999991E-09
DataValue, 2, 0, 26.425, 5.7776999999999992E-09, -5.7842999999999996E-09
DataValue, 2, 0, 26.485000000000003, 5.7787999999999991E-09, -5.7607999999999994E-09
DataValue, 2, 0, 26.535000000000004, 5.7759999999999991E-09, -5.7825E-09
DataValue, 2, 0, 26.585, 5.7752E-09, -5.7646E-09
DataValue, 2, 0, 26.635, 5.7718999999999991E-09, -5.7786999999999995E-09
DataValue, 2, 0, 26.685000000000002, 5.7711E-09, -5.7616E-09
DataValue, 2, 0, 26.735000000000003, 5.767E-09, -5.7789999999999992E-09
DataValue, 2, 0, 26.785000000000004, 5.7665999999999995E-09, -5.7629E-09
DataValue, 2, 0, 26.835, 5.7631E-09, -5.7778999999999992E-09
DataValue, 2, 0, 26.885, 5.7631999999999993E-09, -5.7706999999999995E-09
DataValue, 2, 0, 26.930000000000003, 5.7605E-09, -5.7739E-09
DataValue, 2, 0, 26.990000000000002, 5.7618999999999993E-09, -5.7683E-09
DataValue, 2, 0, 27.05, 5.7568999999999994E-09, -5.7661999999999994E-09
DataValue, 2, 0, 27.110000000000003, 5.7596999999999995E-09, -5.7473999999999994E-09
DataValue, 2, 0, 27.160000000000004, 5.754E-09, -5.7646999999999993E-09
DataValue, 2, 0, 27.21, 5.7534E-09, -5.748E-09
DataValue, 2, 0, 27.26, 5.7501E-09, -5.7614999999999992E-09
DataValue, 2, 0, 27.310000000000002, 5.7491999999999991E-09, -5.7421999999999995E-09
DataValue, 2, 0, 27.360000000000003, 5.746E-09, -5.7568E-09
DataValue, 2, 0, 27.415000000000003, 5.7456999999999993E-09, -5.7545999999999991E-09
DataValue, 2, 0, 27.475, 5.7413999999999992E-09, -5.7501999999999994E-09
DataValue, 2, 0, 27.535000000000004, 5.7419E-09, -5.7484999999999993E-09
DataValue, 2, 0, 27.595000000000002, 5.7389E-09, -5.7488999999999995E-09
DataValue, 2, 0, 27.655, 5.7397999999999996E-09, -5.7263999999999996E-09
DataValue, 2, 0, 27.705000000000002, 5.7356999999999995E-09, -5.743E-09
DataValue, 2, 0, 27.755000000000003, 5.7341999999999995E-09, -5.7251E-09
DataValue, 2, 0, 27.805000000000003, 5.7305E-09, -5.7398999999999992E-09
DataValue, 2, 0, 27.855000000000004, 5.7294E-09, -5.7210999999999992E-09
DataValue, 2, 0, 27.905, 5.7266999999999993E-09, -5.7355999999999991E-09
DataValue, 2, 0, 27.96, 5.7235999999999995E-09, -5.7320999999999993E-09
DataValue, 2, 0, 28.020000000000003, 5.7242E-09, -5.7301999999999991E-09
DataValue, 2, 0, 28.080000000000002, 5.7197E-09, -5.728699999999999E-09
DataValue, 2, 0, 28.14, 5.7180999999999991E-09, -5.7251E-09
DataValue, 2, 0, 28.200000000000003, 5.7169999999999992E-09, -5.7225E-09
DataValue, 2, 0, 28.26, 5.7177E-09, -5.7063999999999992E-09
DataValue, 2, 0, 28.310000000000002, 5.7134999999999993E-09, -5.7190999999999994E-09
DataValue, 2, 0, 28.360000000000003, 5.7121E-09, -5.7065E-09
DataValue, 2, 0, 28.410000000000004, 5.7067999999999994E-09, -5.7171E-09
DataValue, 2, 0, 28.46, 5.7063E-09, -5.6985999999999993E-09
DataValue, 2, 0, 28.51, 5.7043999999999995E-09, -5.712499999999999E-09
DataValue, 2, 0, 28.565, 5.7024999999999993E-09, -5.7117E-09
DataValue, 2, 0, 28.625000000000004, 5.6994999999999992E-09, -5.7086999999999995E-09
DataValue, 2, 0, 28.685000000000002, 5.6985E-09, -5.7054E-09
DataValue, 2, 0, 28.745, 5.6961999999999994E-09, -5.7030999999999995E-09
DataValue, 2, 0, 28.805000000000003, 5.6933E-09, -5.7013999999999994E-09
DataValue, 2, 0, 28.865000000000002, 5.6933E-09, -5.684199999999999E-09
DataValue, 2, 0, 28.915000000000003, 5.6888999999999992E-09, -5.6996E-09
DataValue, 2, 0, 28.965000000000003, 5.6894999999999994E-09, -5.6815999999999991E-09
DataValue, 2, 0, 29.015000000000004, 5.6856999999999991E-09, -5.6929E-09
DataValue, 2, 0, 29.065, 4.592E-09, -3.1965E-09
DataValue, 2, 0, 29.115000000000002, 2.6181E-09, -2.6268999999999997E-09
DataValue, 2, 0, 29.17, 2.6190999999999998E-09, -2.6278999999999996E-09
DataValue, 2, 0, 29.230000000000004, 2.6189999999999997E-09, -2.6279999999999996E-09
DataValue, 2, 0, 29.290000000000003, 2.6181E-09, -2.6252999999999996E-09
DataValue, 2, 0, 29.35, 2.6187999999999997E-09, -2.6267999999999997E-09
DataValue, 2, 0, 29.410000000000004, 2.6169999999999995E-09, -2.6264999999999996E-09
DataValue, 2, 0, 29.470000000000002, 2.6168E-09, -2.6246E-09
DataValue, 2, 0, 29.53, 2.6195E-09, -2.6091999999999996E-09
DataValue, 2, 0, 29.580000000000002, 2.6147999999999997E-09, -2.6243999999999997E-09
DataValue, 2, 0, 29.630000000000003, 2.6154E-09, -2.6078999999999996E-09
DataValue, 2, 0, 29.680000000000003, 2.6156E-09, -2.6236E-09
DataValue, 2, 0, 29.735000000000003, 2.6252999999999996E-09, -2.6121999999999997E-09
DataValue, 2, 0, 29.785000000000004, 2.6139E-09, -2.6240999999999997E-09
DataValue, 2, 0, 29.835, 2.6132999999999997E-09, -2.622E-09
DataValue, 2, 0, 29.895000000000003, 2.6134999999999997E-09, -2.6224999999999996E-09
DataValue, 2, 0, 29.955000000000002, 2.6119999999999997E-09, -2.6226999999999996E-09
DataValue, 2, 0, 30.015000000000004, 2.6122999999999998E-09, -2.6209E-09
DataValue, 2, 0, 30.075000000000003, 2.6102E-09, -2.6215999999999997E-09
DataValue, 2, 0, 30.135, 2.6142E-09, -2.602E-09
DataValue, 2, 0, 30.185000000000002, 2.6087E-09, -2.6210999999999996E-09
DataValue, 2, 0, 30.240000000000002, 2.6081999999999997E-09, -2.6196999999999995E-09
DataValue, 2, 0, 30.3, 2.6086E-09, -2.6181E-09
DataValue, 2, 0, 30.360000000000003, 2.6075999999999996E-09, -2.6177999999999998E-09
DataValue, 2, 0, 30.42, 2.6071E-09, -2.6179E-09
DataValue, 2, 0, 30.480000000000004, 2.6199999999999996E-09, -2.6051999999999996E-09
DataValue, 2, 0, 30.535000000000004, 2.6067999999999997E-09, -2.6183999999999996E-09
DataValue, 2, 0, 30.580000000000002, 2.6075E-09, -2.6183999999999996E-09
DataValue, 2, 0, 30.640000000000004, 2.6050999999999996E-09, -2.6169E-09
DataValue, 2, 0, 30.700000000000003, 2.6093999999999997E-09, -2.6028999999999998E-09
DataValue, 2, 0, 30.750000000000004, 2.6040999999999997E-09, -2.6157999999999996E-09
DataValue, 2, 0, 30.805000000000003, 2.6052999999999997E-09, -2.6166E-09
DataValue, 2, 0, 30.865000000000002, 2.6026999999999997E-09, -2.6149999999999998E-09
DataValue, 2, 0, 30.925000000000004, 2.6049999999999996E-09, -2.6168E-09
DataValue, 2, 0, 30.985000000000003, 2.6024999999999996E-09, -2.6136999999999998E-09
DataValue, 2, 0, 31.045, 2.6054999999999997E-09, -2.6189999999999997E-09
DataValue, 2, 0, 31.105000000000004, 2.602E-09, -2.6145999999999996E-09
DataValue, 2, 0, 31.165000000000003, 2.6033E-09, -2.6146999999999997E-09
DataValue, 2, 0, 31.225, 2.6018E-09, -2.6134999999999997E-09
DataValue, 2, 0, 31.285000000000004, 2.6063999999999996E-09, -2.5963E-09
DataValue, 2, 0, 31.335, 2.6001999999999998E-09, -2.6141E-09
DataValue, 2, 0, 31.385, 2.6033E-09, -2.5984999999999997E-09
DataValue, 2, 0, 31.435000000000002, 2.6045E-09, -2.6157999999999996E-09
DataValue, 2, 0, 31.490000000000002, 2.6139E-09, -2.6011999999999997E-09
DataValue, 2, 0, 31.540000000000003, 2.599E-09, -2.6118999999999996E-09
DataValue, 2, 0, 31.590000000000003, 2.599E-09, -2.6126E-09
DataValue, 2, 0, 31.650000000000002, 2.6010999999999996E-09, -2.6138E-09
DataValue, 2, 0, 31.71, 2.5986999999999997E-09, -2.6123999999999998E-09
DataValue, 2, 0, 31.770000000000003, 2.5999999999999997E-09, -2.6119999999999997E-09
DataValue, 2, 0, 31.830000000000002, 2.6054999999999997E-09, -2.5890999999999997E-09
DataValue, 2, 0, 31.880000000000003, 2.6008999999999996E-09, -2.6129999999999996E-09
DataValue, 2, 0, 31.935000000000002, 2.5971999999999997E-09, -2.6105999999999996E-09
DataValue, 2, 0, 31.995, 2.6006E-09, -2.6119999999999997E-09
DataValue, 2, 0, 32.055, 2.5974999999999998E-09, -2.6115E-09
DataValue, 2, 0, 32.115, 2.6441999999999996E-09, -4.0209E-09
DataValue, 2, 0, 32.175000000000004, 5.6605E-09, -5.6696999999999991E-09
DataValue, 2, 0, 32.235, 5.6579E-09, -5.6689999999999993E-09
DataValue, 2, 0, 32.295, 5.6564E-09, -5.6652999999999995E-09
DataValue, 2, 0, 32.355000000000004, 5.6577E-09, -5.6456E-09
DataValue, 2, 0, 32.405, 5.6527E-09, -5.6646999999999993E-09
DataValue, 2, 0, 32.455000000000005, 5.6512999999999993E-09, -5.6406999999999994E-09
DataValue, 2, 0, 32.505, 5.6460999999999994E-09, -5.6574999999999995E-09
DataValue, 2, 0, 32.555, 5.6449E-09, -5.6382999999999994E-09
DataValue, 2, 0, 32.605000000000004, 5.6427999999999996E-09, -5.6551E-09
DataValue, 2, 0, 32.660000000000004, 5.6425999999999995E-09, -5.6555E-09
DataValue, 2, 0, 32.720000000000006, 5.6378E-09, -5.6521999999999992E-09
DataValue, 2, 0, 32.78, 5.6378999999999993E-09, -5.6497999999999992E-09
DataValue, 2, 0, 32.84, 5.6367E-09, -5.6491999999999991E-09
DataValue, 2, 0, 32.900000000000006, 5.6339999999999994E-09, -5.643E-09
DataValue, 2, 0, 32.96, 5.6378E-09, -5.6231E-09
DataValue, 2, 0, 33.010000000000005, 5.6311999999999993E-09, -5.6404E-09
DataValue, 2, 0, 33.06, 5.6324999999999993E-09, -5.6240999999999992E-09
DataValue, 2, 0, 33.11, 5.6296999999999993E-09, -5.6412999999999995E-09
DataValue, 2, 0, 33.160000000000004, 5.6242E-09, -5.6201999999999993E-09
DataValue, 2, 0, 33.21, 5.6225999999999992E-09, -5.6365E-09
DataValue, 2, 0, 33.265, 5.624E-09, -5.6328999999999994E-09
DataValue, 2, 0, 33.325, 5.6212999999999992E-09, -5.6309E-09
DataValue, 2, 0, 33.385000000000005, 5.6175999999999993E-09, -5.6279999999999992E-09
DataValue, 2, 0, 33.445, 5.6173999999999992E-09, -5.6270999999999993E-09
DataValue, 2, 0, 33.505, 5.6194999999999995E-09, -5.6047999999999995E-09
DataValue, 2, 0, 33.555, 5.6130999999999992E-09, -5.6235999999999995E-09
DataValue, 2, 0, 33.605000000000004, 5.6132999999999992E-09, -5.6041E-09
DataValue, 2, 0, 33.655, 5.6093999999999993E-09, -5.6209999999999995E-09
DataValue, 2, 0, 33.705000000000005, 5.608E-09, -5.5998999999999992E-09
DataValue, 2, 0, 33.755, 5.6060999999999995E-09, -5.6160999999999992E-09
DataValue, 2, 0, 33.805, 5.6019E-09, -5.5955999999999992E-09
DataValue, 2, 0, 33.855000000000004, 5.6047999999999995E-09, -5.6136999999999993E-09
DataValue, 2, 0, 33.910000000000004, 5.6006E-09, -5.6093E-09
DataValue, 2, 0, 33.970000000000006, 5.5992999999999991E-09, -5.6101999999999995E-09
DataValue, 2, 0, 34.03, 5.5959999999999993E-09, -5.6065E-09
DataValue, 2, 0, 34.09, 5.5994999999999991E-09, -5.5866999999999993E-09
DataValue, 2, 0, 34.14, 5.5948E-09, -5.6030999999999994E-09
DataValue, 2, 0, 34.190000000000005, 5.5924999999999995E-09, -5.5874999999999996E-09
DataValue, 2, 0, 34.24, 5.5924E-09, -5.6015E-09
DataValue, 2, 0, 34.290000000000006, 5.5883999999999994E-09, -5.581E-09
DataValue, 2, 0, 34.34, 5.5870999999999995E-09, -5.5952999999999995E-09
DataValue, 2, 0, 34.395, 5.5862E-09, -5.5952999999999995E-09
DataValue, 2, 0, 34.455000000000005, 5.5834999999999992E-09, -5.5901999999999992E-09
DataValue, 2, 0, 34.515, 5.5805999999999995E-09, -5.5927999999999991E-09
DataValue, 2, 0, 34.575, 5.5801E-09, -5.5890999999999992E-09
DataValue, 2, 0, 34.635000000000005, 5.5777999999999995E-09, -5.5847999999999992E-09
DataValue, 2, 0, 34.695, 5.5786999999999994E-09, -5.5683999999999991E-09
DataValue, 2, 0, 34.745000000000005, 5.5723E-09, -5.5845999999999991E-09
DataValue, 2, 0, 34.795, 5.5749E-09, -5.5665999999999994E-09
DataValue, 2, 0, 34.845000000000006, 5.5704999999999993E-09, -5.5819999999999991E-09
DataValue, 2, 0, 34.895, 5.5671999999999996E-09, -5.5622E-09
DataValue, 2, 0, 34.945, 5.5676E-09, -5.5750999999999991E-09
DataValue, 2, 0, 35, 5.5659999999999992E-09, -5.5749E-09
DataValue, 2, 0, 35.06, 5.5617999999999996E-09, -5.5741E-09
DataValue, 2, 0, 35.120000000000005, 5.5605999999999992E-09, -5.5704999999999993E-09
DataValue, 2, 0, 35.18, 5.5601999999999991E-09, -4.1799999999999992E-09
DataValue, 2, 0, 35.24, 2.5016999999999997E-09, -2.5212E-09
DataValue, 2, 0, 35.300000000000004, 2.5049E-09, -2.5162999999999997E-09
DataValue, 2, 0, 35.36, 2.5074E-09, -2.4959999999999997E-09
DataValue, 2, 0, 35.410000000000004, 2.5022E-09, -2.5136999999999997E-09
DataValue, 2, 0, 35.46, 2.5061E-09, -2.4952E-09
DataValue, 2, 0, 35.510000000000005, 2.5030999999999998E-09, -2.5144E-09
DataValue, 2, 0, 35.565000000000005, 2.5135999999999997E-09, -2.5023E-09
DataValue, 2, 0, 35.620000000000005, 2.5025999999999996E-09, -2.5093999999999996E-09
DataValue, 2, 0, 35.665000000000006, 2.5022E-09, -2.5132999999999996E-09
DataValue, 2, 0, 35.725, 2.501E-09, -2.5137999999999997E-09
DataValue, 2, 0, 35.785000000000004, 2.5001999999999997E-09, -2.5093999999999996E-09
DataValue, 2, 0, 35.845000000000006, 2.4999999999999996E-09, -2.5111999999999998E-09
DataValue, 2, 0, 35.905, 2.5043999999999997E-09, -2.4925E-09
DataValue, 2, 0, 35.955000000000005, 2.4998999999999996E-09, -2.5106999999999996E-09
DataValue, 2, 0, 36.005, 2.5016999999999997E-09, -2.4929999999999996E-09
DataValue, 2, 0, 36.055, 2.5128E-09, -2.4986999999999997E-09
DataValue, 2, 0, 36.1, 2.4988999999999997E-09, -2.5092999999999996E-09
DataValue, 2, 0, 36.150000000000006, 2.5104E-09, -2.4965E-09
DataValue, 2, 0, 36.205000000000005, 2.4990999999999998E-09, -2.5080999999999996E-09
DataValue, 2, 0, 36.25, 2.4982E-09, -2.5094999999999997E-09
DataValue, 2, 0, 36.31, 2.4984999999999996E-09, -2.5084999999999998E-09
DataValue, 2, 0, 36.370000000000005, 2.4979E-09, -2.5089E-09
DataValue, 2, 0, 36.43, 2.4962999999999997E-09, -2.51E-09
DataValue, 2, 0, 36.49, 2.4997E-09, -2.4878999999999996E-09
DataValue, 2, 0, 36.540000000000006, 2.4963999999999998E-09, -2.5083999999999997E-09
DataValue, 2, 0, 36.595000000000006, 2.4957999999999996E-09, -2.5073E-09
DataValue, 2, 0, 36.655, 2.4954E-09, -2.5075E-09
DataValue, 2, 0, 36.715, 2.5073E-09, -2.494E-09
DataValue, 2, 0, 36.765, 2.4941E-09, -2.5051999999999996E-09
DataValue, 2, 0, 36.815000000000005, 2.4948999999999997E-09, -2.5068999999999997E-09
DataValue, 2, 0, 36.875, 2.4931999999999996E-09, -2.5049E-09
DataValue, 2, 0, 36.935, 2.4934999999999997E-09, -2.5048E-09
DataValue, 2, 0, 36.995000000000005, 2.494E-09, -2.5070999999999997E-09
DataValue, 2, 0, 37.055, 2.4931999999999996E-09, -2.5055999999999997E-09
DataValue, 2, 0, 37.115, 2.498E-09, -2.4875999999999996E-09
DataValue, 2, 0, 37.165000000000006, 2.4934999999999997E-09, -2.5062E-09
DataValue, 2, 0, 37.220000000000006, 2.4936999999999998E-09, -2.5040999999999997E-09
DataValue, 2, 0, 37.28, 2.4953E-09, -2.5064999999999996E-09
DataValue, 2, 0, 37.34, 2.4928E-09, -2.5046E-09
DataValue, 2, 0, 37.400000000000006, 2.4929999999999996E-09, -2.505E-09
DataValue, 2, 0, 37.46, 2.4957999999999996E-09, -2.5065999999999996E-09
DataValue, 2, 0, 37.52, 2.4945999999999996E-09, -2.5047E-09
DataValue, 2, 0, 37.580000000000005, 2.4913E-09, -2.5048E-09
DataValue, 2, 0, 37.64, 2.4954E-09, -2.5057999999999998E-09
DataValue, 2, 0, 37.7, 2.4969E-09, -2.4836999999999996E-09
DataValue, 2, 0, 37.75, 2.4956999999999996E-09, -2.5061E-09
DataValue, 2, 0, 37.805, 2.4933999999999997E-09, -2.5030999999999998E-09
DataValue, 2, 0, 37.865, 2.4920999999999997E-09, -2.5030999999999998E-09
DataValue, 2, 0, 37.925000000000004, 2.4957999999999996E-09, -2.5035E-09
DataValue, 2, 0, 37.985000000000007, 2.4936999999999998E-09, -2.5061E-09
DataValue, 2, 0, 38.045, 2.4904999999999996E-09, -2.5021E-09
DataValue, 2, 0, 38.105000000000004, 2.4922999999999998E-09, -2.5001999999999997E-09
DataValue, 2, 0, 38.165000000000006, 2.4946999999999997E-09, -2.5035E-09
DataValue, 2, 0, 38.225, 2.4981E-09, -2.4805E-09
DataValue, 2, 0, 38.275000000000006, 2.4928E-09, -2.5013999999999997E-09
DataValue, 2, 0, 38.325, 2.4961999999999997E-09, -2.4898E-09
DataValue, 2, 0, 38.375, 2.5046E-09, -2.4904999999999996E-09
DataValue, 2, 0, 38.42, 2.4930999999999996E-09, -2.5038999999999996E-09
DataValue, 2, 0, 38.470000000000006, 2.5065999999999996E-09, -2.4919999999999997E-09
DataValue, 2, 0, 38.525000000000006, 2.4926E-09, -2.4956E-09
DataValue, 2, 0, 38.57, 2.4925E-09, -2.5027999999999997E-09
DataValue, 2, 0, 38.63, 2.49E-09, -2.5013999999999997E-09
DataValue, 2, 0, 38.690000000000005, 2.4936999999999998E-09, -2.5001999999999997E-09
DataValue, 2, 0, 38.75, 2.6306999999999996E-09, -4.6462999999999996E-09
DataValue, 2, 0, 38.805, 5.5529999999999993E-09, -5.5611999999999994E-09
DataValue, 2, 0, 38.85, 5.549E-09, -5.5423999999999994E-09
DataValue, 2, 0, 38.900000000000006, 5.5442999999999996E-09, -5.5542E-09
DataValue, 2, 0, 38.95, 5.5417E-09, -5.5341999999999994E-09
DataValue, 2, 0, 39, 5.5389999999999992E-09, -5.5527E-09
DataValue, 2, 0, 39.055, 5.5415999999999991E-09, -5.5468999999999995E-09
DataValue, 2, 0, 39.115, 5.5397999999999994E-09, -5.5479E-09
DataValue, 2, 0, 39.175000000000004, 5.538E-09, -5.549E-09
DataValue, 2, 0, 39.235000000000007, 5.5395999999999994E-09, -5.5425E-09
DataValue, 2, 0, 39.295, 5.5371E-09, -5.5423999999999994E-09
DataValue, 2, 0, 39.355000000000004, 5.5375999999999996E-09, -5.5248E-09
DataValue, 2, 0, 39.405, 5.5328E-09, -5.5414999999999995E-09
DataValue, 2, 0, 39.455000000000005, 5.5317E-09, -5.5270999999999992E-09
DataValue, 2, 0, 39.505, 5.5294999999999992E-09, -5.5395E-09
DataValue, 2, 0, 39.555, 5.5276999999999994E-09, -5.522E-09
DataValue, 2, 0, 39.605000000000004, 5.5276999999999994E-09, -5.5365E-09
DataValue, 2, 0, 39.660000000000004, 5.5261999999999994E-09, -5.5328999999999994E-09
DataValue, 2, 0, 39.720000000000006, 5.5220999999999994E-09, -5.5304E-09
DataValue, 2, 0, 39.78, 5.5220999999999994E-09, -5.5298999999999993E-09
DataValue, 2, 0, 39.84, 5.5205999999999993E-09, -5.527E-09
DataValue, 2, 0, 39.900000000000006, 5.5188999999999992E-09, -5.5257E-09
DataValue, 2, 0, 39.96, 5.5205E-09, -5.5099E-09
DataValue, 2, 0, 40.010000000000005, 5.5172999999999995E-09, -5.5231999999999993E-09
DataValue, 2, 0, 40.06, 5.5155999999999994E-09, -5.5097E-09
DataValue, 2, 0, 40.110000000000007, 5.5142E-09, -5.5210999999999991E-09
DataValue, 2, 0, 40.160000000000004, 5.5118999999999995E-09, -5.5056E-09
DataValue, 2, 0, 40.21, 5.5099999999999994E-09, -5.5177E-09
DataValue, 2, 0, 40.265, 5.5095E-09, -5.5155E-09
DataValue, 2, 0, 40.325, 5.5069E-09, -5.514E-09
DataValue, 2, 0, 40.385000000000005, 5.5062999999999995E-09, -5.5108999999999992E-09
DataValue, 2, 0, 40.445, 5.5038999999999996E-09, -5.5105999999999996E-09
DataValue, 2, 0, 40.505, 5.5050999999999991E-09, -5.4946E-09
DataValue, 2, 0, 40.555000000000007, 5.5013999999999992E-09, -5.5064999999999995E-09
DataValue, 2, 0, 40.605000000000004, 5.5017999999999993E-09, -5.495E-09
DataValue, 2, 0, 40.655, 5.4965E-09, -5.5064999999999995E-09
DataValue, 2, 0, 40.705000000000005, 5.4965E-09, -5.4879E-09
DataValue, 2, 0, 40.755, 5.4961E-09, -5.5041999999999993E-09
DataValue, 2, 0, 40.805000000000007, 5.4946999999999992E-09, -5.4901999999999991E-09
DataValue, 2, 0, 40.855000000000004, 5.4941999999999995E-09, -5.4974E-09
DataValue, 2, 0, 40.905, 5.4902999999999995E-09, -5.4952E-09
DataValue, 2, 0, 40.95, 5.4892999999999992E-09, -5.4961E-09
DataValue, 2, 0, 41.010000000000005, 5.4903999999999992E-09, -5.4892999999999992E-09
DataValue, 2, 0, 41.07, 5.4855E-09, -5.4894E-09
DataValue, 2, 0, 41.13, 5.4868999999999993E-09, -5.4754999999999991E-09
DataValue, 2, 0, 41.180000000000007, 5.4835999999999996E-09, -5.4877999999999992E-09
DataValue, 2, 0, 41.230000000000004, 5.4801999999999993E-09, -5.4769999999999992E-09
DataValue, 2, 0, 41.28, 5.4794999999999995E-09, -5.4857999999999994E-09
